id;name;year;type;genres;episodes;rating;source;status
1072; Sweat_Punch; 2006; OVA; 0; 2; 7.59; Unknown; 1
1133; Tenchi_Muyou_GXP; 2002; TV; 0; 2; 7.24; Original; 1
3352; Tengen_Toppa_Gurren_Lagann__Mitee_Mono_wa_Miteen_da; 2008; Special; 0; 1; 7.47; Original; 1
19191; Ghost_in_the_Shell__Arise_-_Border_2_Ghost_Whispers; 2013; Movie; 0; 1; 7.67; Manga; 1
6291; Full_Metal_Panic_The_Second_Raid_Episode_000; 2005; Special; 0; 1; 7.54; Lightnovel; 1
29325; Ghost_in_the_Shell__Arise_-_Alternative_Architecture; 2015; TV; 0; 2; 7.34; Manga; 1
194; Macross_Zero; 2004; OVA; 0; 2; 7.67; Unknown; 1
2124; Code_Geass__Hangyaku_no_Lelouch_Recaps; 2007; Special; 0; 2; 7.10; Original; 1
1710; RockmanEXE; 2003; TV; 0; 3; 7.04; Unknown; 1
2449; Ghost_in_the_Shell__Stand_Alone_Complex_-_The_Laughing_Man; 2005; Special; 0; 1; 8.17; Unknown; 1
23319; Suisei_no_Gargantia__Meguru_Kouro_Haruka; 2015; OVA; 0; 2; 7.45; Original; 1
1016; Gunnm; 1993; OVA; 0; 2; 7.25; Manga; 1
19193; Ghost_in_the_Shell__Arise_-_Border_3_Ghost_Tears; 2014; Movie; 0; 1; 7.50; Manga; 1
474; Macross_Plus; 1995; OVA; 0; 2; 7.81; Original; 1
27411; Ghost_in_the_Shell_2015; 2015; Movie; 0; 1; 7.63; Manga; 1
24625; Gundam_Build_Fighters_Try; 2015; TV; 0; 2; 7.50; Original; 1
14237; Busou_Shinki; 2012; TV; 0; 2; 6.39; Other; 1
95; Turn_A_Gundam; 2000; TV; 0; 3; 7.76; Unknown; 1
3508; Genius_Party; 2007; Movie; 2; 2; 7.36; Original; 1
593; Mugen_no_Ryvius; 2000; TV; 0; 2; 7.58; Original; 1
1089; Macross__Do_You_Remember_Love; 1984; Movie; 0; 1; 8.07; Original; 1
1212; Oban_Star-Racers; 2006; TV; 0; 2; 7.52; Original; 1
878; Zegapain; 2006; TV; 0; 2; 7.45; Original; 1
1230; Innocent_Venus; 2006; TV; 0; 2; 6.93; Original; 1
28149; Nihon_Animator_Mihonichi; 2015; ONA; 0; 3; 7.52; Original; 1
31973; Mobile_Suit_Gundam_Thunderbolt; 2016; ONA; 0; 2; 7.98; Manga; 1
568; Bubblegum_Crisis_Tokyo_2040; 1999; TV; 0; 2; 7.19; Original; 1
